,ente,população,estado_do_processo,data_adesao
,Aurora,24.496 , 1 ,21/3/2013
,Baixio,6.228 , 1 ,21/8/2014
,Banabuiú,18.027 , 1 ,3/6/2013
,Barbalha,59.811 , 1 ,16/9/2014
,Barreira,20.978 , 1 ,25/11/2013
,Barro,22.440 , 1 ,21/8/2014
,Barroquinha,14.880 , 1 ,7/5/2014
,Baturité,35.351 , 1 ,12/2/2014
,Beberibe,53.110 , 1 ,14/6/2013
,Bela Cruz,32.378 , 1 ,4/2/2013
,Boa Viagem,54.049 , 1 ,7/7/2015
,Brejo Santo,48.830 , 1 ,30/7/2014
,Camocim,62.985 , 1 ,3/12/2013
,Campos Sales,27.209 , - ,
,Canindé,77.514 , 1 ,5/9/2013
,Capistrano,17.668 , 1 ,3/4/2014
,Caridade,22.320 , - , - 
,Cariré,18.660 , 1 ,21/3/2013
,Caririaçu,26.892 , 1 ,30/7/2014
,Cariús,18.804 , - , - 
,Carnaubal,17.631 , - , - 
,Cascavel,71.079 , 1 ,1/3/2013
,Catarina,20.451 , 1 ,7/8/2013
,Catunda,10.365 , 1 ,23/6/2017
,Caucaia,362.223 , 1 ,30/7/2014
,Cedro,25.063 , 1 ,2/10/2015
,Chaval,12.952 , - , - 
,Choró,13.384 , 1 ,29/5/2015
,Chorozinho,19.197 , 1 ,19/4/2017
,Coreaú,23.107 , 1 ,21/7/2014
,Crateús,74.426 , 1 ,7/8/2013
,Crato,130.604 , 1 ,7/5/2014
,Croatá,17.874 , 1 ,23/2/2015
,Cruz,23.983 , 1 ,30/7/2014
,Deputado Irapuan Pinheiro,9.521 , 1 ,31/8/2015
,Ererê,7.163 , - , - 
,Eusébio,52.667 , 1 ,30/7/2014
,Farias Brito,18.720 , 1 ,21/8/2014
,Forquilha,24.047 , - , - 
,Fortim,16.272 , 1 ,23/6/2017
,Frecheirinha,13.669 , 1 ,3/5/2013
,General Sampaio,6.922 , 1 ,18/6/2013
,Graça,15.307 , 1 ,4/2/2013
,Granja,54.365 , 1 ,16/9/2014
,Granjeiro,4.425 , - , - 
,Groaíras,11.012 , 1 ,18/6/2013
,Guaiúba,26.331 , 1 ,6/9/2013
,Guaraciaba do Norte,39.445 , 1 ,7/5/2014
,Guaramiranga,3.547 , 1 ,3/12/2013
,Hidrolândia,20.215 , 1 ,7/8/2013
,Horizonte,65.928 , 1 ,12/11/2015
,Ibaretama,13.218 , 1 ,27/7/2015
,Ibiapina,24.825 , 1 ,7/8/2013
,Ibicuitinga,12.350 , 1 ,21/8/2014
,Icapuí,19.685 , 1 ,3/12/2013
,Icó,67.486 , 1 ,18/6/2013
,Iguatu,102.614 , 1 ,7/8/2013
,Independência,25.967 , - , - 
,Ipaporanga,11.499 , 1 ,9/10/2013
,Ipaumirim,12.349 , 1 ,4/2/2013
,Ipu,41.576 , 1 ,3/7/2014
,Ipueiras,37.896 , - , - 
,Iracema,14.125 , 1 ,7/5/2014
,Irauçuba,23.858 , 1 ,28/12/2012
,Itaiçaba,7.738 , 1 ,29/2/2016
,Itaitinga,39.310 , 1 ,19/9/2013
,Itapajé,51.945 , 1 ,12/2/2014
,Itapipoca,127.465 , 1 ,7/8/2013
,Itapiúna,20.014 , 1 ,27/4/2017
,Itarema,41.230 , 1 ,21/8/2014
,Itatira,20.675 , 1 ,29/2/2016
,Jaguaretama,17.958 , 1 ,3/4/2014
,Jaguaribara,11.295 , - , - 
,Jaguaribe,34.448 , 1 ,7/8/2013
,Jaguaruana,33.740 , 1 ,3/5/2013
,Jardim,27.076 , - ,19/10/2012
,Jati,7.847 , 1 ,25/11/2013
,Jijoca de Jericoacoara,19.510 , 1 ,12/11/2015
,Juazeiro do Norte,270.383 , 1 ,21/3/2013
,Jucás,24.597 , 1 ,7/8/2013
,Lavras da  Mangabeira,31.335 , 1 ,19/9/2013
,Limoeiro do Norte,58.915 , 1 ,9/10/2013
,Madalena,19.800 , 1 ,13/11/2013
,Maracanaú,224.804 , 1 ,1/3/2013
,Marco,126.486 , 1 ,1/6/2017
,Maranguape,26.981 , 1 ,28/12/2012
,Martinópole,11.082 , - , - 
,Massapê,38.210 , - , - 
,Mauriti,46.548 , 1 ,7/5/2014
,Meruoca,14.948 , 1 ,4/2/2013
,Milagres,28.231 , 1 ,21/2/2018
,Milhã,13.136 , 1 ,3/7/2014
,Miraíma,13.583 , 1 ,19/8/2013
,Missão Velha,35.409 , 1 ,8/12/2017
,Mombaça,43.735 , 1 ,3/12/2013
,Monsenhor Tabosa,17.038 , 1 ,30/7/2014
,Morada Nova,61.548 , 1 ,19/8/2013
,Moraújo,8.636 , - , - 
,Morrinhos,22.222 , - , - 
,Mucambo,14.377 , 1 ,15/1/2014
,Mulungu,12.831 , 1 ,7/8/2013
,Nova Olinda,15.433 , 1 ,7/8/2013
,Nova Russas,32.035 , - , - 
,Novo Oriente ,28.353 , 1 ,21/8/2014
,Ocara,25.394 , 1 ,5/2/2014
,Orós,21.292 , 1 ,29/2/2016
,Pacajus,70.911 , 1 ,3/5/2013
,Pacatuba,82.824 , 1 ,12/12/2014
,Pacoti,11.960 , 1 ,12/9/2013
,Pacujá,6.202 , 1 ,30/6/2017
,Palhano,9.285 , 1 ,28/12/2012
,Palmácia,13.145 , 1 ,28/9/2015
,Paracuru,33.894 , 1 ,29/5/2015
,Paraipaba,32.515 , 1 ,20/7/2017
,Parambu,31.137 , 1 ,12/11/2015
,Paramoti,11.578 , - , - 
,Pedra Branca,42.841 , 1 ,7/5/2014
,Penaforte,8.956 , 1 ,7/11/2017
,Pentecoste,37.077 , 1 ,7/8/2013
,Pereiro,16.163 , 1 ,23/2/2015
,Pindoretama,20.644 , 1 ,3/7/2014
,Piquet Carneiro,16.731 , 1 ,7/5/2014
,Pires Ferreira,10.784 , 1 ,13/8/2018
,Poranga,12.243 , 1 ,30/7/2014
,Porteiras,14.921 , - , - 
,Potengi,10.918 , - , - 
,Potiretama,6.356 , 1 ,2/3/2017
,Quiterianópolis,20.860 , 1 ,4/12/2015
,Quixadá,86.605 , 1 ,3/6/2013
,Quixelô,14.860 , 1 ,16/8/2013
,Quixeramobim,78.658 , 1 ,30/7/2014
,Quixeré,21.876 , 1 ,31/8/2015
,Redenção,27.441 , 1 ,30/7/2014
,Reriutaba,18.769 , 1 ,4/12/2015
,Russas,76.475 , 1 ,30/7/2014
,Saboeiro,15.678 , 1 ,13/8/2018
,Salitre,16.331 , 1 ,21/7/2014
,Santa Quitéria,32.023 , 1 ,2/12/2015
,Santana do Acaraú,17.489 , 1 ,12/11/2015
,Santana do Cariri,43.360 , 1 ,12/2/2014
,São Benedito,46.648 , 1 ,7/8/2013
,São Gonçalo do Amarante,48.265 , 1 ,7/7/2015
,São João do Jaguaribe,7.621 , 1 ,8/9/2017
,São Luis do Curu,12.849 , 1 ,23/2/2015
,Senador Pompeu,26.447 , 1 ,17/9/2015
,Senador Sá,7.513 , 1 ,27/10/2015
,Sobral,205.529 , 1 ,12/4/2013
,Solonópole,18.158 , - , - 
,Tabuleiro do Norte,30.489 , 1 ,3/5/2013
,Tamboril,25.525 , 1 ,2/12/2015
,Tarrafas,8.852 , 1 ,3/7/2014
,Tauá,58.119 , 1 ,29/5/2015
,Tejuçuoca,18.902 , - , - 
,Tianguá,74.719 , 1 ,16/9/2014
,Trairi,55.207 , 1 ,16/10/2014
,Tururu,15.935 , 1 ,14/11/2013
,Ubajara,34.332 , 1 ,26/2/2014
,Umari,7.671 , 1 ,4/10/2018
,Umirim,19.679 , 1 ,3/12/2013
,Uruburetama,21.609 , - , - 
,Uruoca,13.677 , 1 ,12/11/2015
,Varjota,18.239 , 1 ,23/1/2013
,Várzea Alegre,40.440 , 1 ,16/9/2014
,Viçosa do Ceará,60.030 , 1 ,12/9/2013
,DISTRITO FEDERAL,3.039.444 , 1 ,7/2/2013
,ESPÍRITO SANTO,4.016.356, Sim ,7/3/2013
,Vitória,363.140 , 1 ,30/7/2014
,Afonso Cláudio,32.361 , 1 ,4/11/2014
,Água Doce do Norte,10.085 , - , - 
,Águia Branca,11.893 , - , - 
,Alegre,32.146 , - , - 
,Alfredo Chaves,15.082 , 1 ,2/5/2017
,Alto Rio Novo,8.022 , - , - 
,Anchieta,28.546 , - , - 
,Apiacá,7.932 , - , - 
,Aracruz,98.393 , 1 ,8/6/2017
,Atílio Vivacqua,11.804 , - , - 
,Baixo Guandu,31.794 , 1 ,5/9/2013
,Barra de São Francisco,45.283 , - , - 
,Boa Esperança,15.460 , - , - 
,Bom Jesus do Norte,10.254 , - , - 
,Brejetuba,12.838 , 1 ,30/6/2017
,Cachoeiro de Itapemirim,211.649 , 1 ,21/2/2018
,Cariacica,387.368 , 1 ,12/2/2014
,Castelo,38.304 , 1 ,22/1/2013
,Colatina,124.525 , 1 ,18/4/2013
,Conceição da Barra,31.574 , - , - 
,Conceição do Castelo,12.944 , 1 ,2/1/2013
,Divino de São Lourenço,4.612 , 1 ,12/2/2014
,Domingos Martins,34.757 , 1 ,29/2/2016
,Dores do Rio Preto,6.949 , - , - 
,Ecoporanga,24.217 , - , - 
,Fundão,20.757 , - , - 
,Governador Lindemberg,12.600 , - , - 
,Guaçuí,31.201 , 1 ,3/5/2013
,Guarapari,123.166 , - , - 
,Ibatiba,25.882 , 1 ,18/7/2017
,Ibiraçu,12.581 , - , - 
,Ibitirama,9.373 , - , - 
,Iconha,14.016 , 1 ,12/4/2013
,Irupi,13.380 , - , - 
,Itaguaçu,14.815 , - , - 
,Itapemirim,34.628 , - , - 
,Itarana,11.231 , - , - 
,Iúna,29.896 , 1 ,16/6/2017
,Jaguaré,29.642 , - , - 
,Jerômino Monteiro,12.036 , 1 ,19/4/2017
,João Neiva,17.168 , 1 ,16/8/2013
,Laranja da Terra,11.457 , 1 ,12/4/2013
,Linhares,169.048 , 1 ,27/11/2018
,Mantenópolis,15.419 , - , - 
,Marataizes,38.670 , 1 ,22/1/2013
,Marechal Floriano,16.545 , - , - 
,Marilândia,12.602 , - , - 
,Mimoso do Sul,27.388 , - , - 
,Montanha,19.391 , 1 ,24/7/2013
,Mucurici,5.861 , - , - 
,Muniz Freire,18.745 , - , - 
,Muqui,15.806 , - , - 
,Nova Venécia,50.991 , - , - 
,Pancas,23.697 , 1 ,22/1/2013
,Pedro Canário,26.537 , 1 ,30/7/2014
,Pinheiros,27.130 , - , - 
,Piúma,21.336 , 1 ,30/7/2014
,Ponto Belo,7.901 , - , - 
,Presidente Kennedy,11.742 , - , - 
,Rio Bananal,19.457 , - , - 
,Rio Novo do Sul,12.095 , - , - 
,Santa Leopoldina,12.889 , - , - 
,Santa Maria de Jetibá,39.928 , 1 ,7/11/2017
,Santa Teresa,24.025 , 1 ,30/7/2014
,São Domingos do Norte,8.818 , 1 ,14/6/2013
,São Gabriel da Palha,37.375 , 1 ,12/9/2013
,São José do Calçado,11.036 , - , - 
,São Mateus,128.449 , 1 ,22/1/2013
,São Roque do Canaã,12.579 , - , - 
,Serra,502.618 , 1 ,12/9/2013
,Sooretama,29.038 , - , - 
,Vargem Alta,21.584 , 1 ,12/8/2014
,Venda Nova do Imigrante,24.575 , 1 ,18/5/2017
,Viana,76.776 , 1 ,2/1/2013
,Vila Pavão,9.459 , - , - 
,Vila Valério,14.697 , - , - 
,Vila Velha,486.388 , 1 ,19/10/2015
,GOIÁS,6.778.772, Sim ,7/3/2013
,Goiânia,1.466.105 , 1 ,3/6/2013
,Abadia de Goiás,8.207 , - , - 
,Abadiânia,18.775 , - , - 
,Acreuna,22.076 , - , - 
,Adelândia,2.564 , - , - 
,Água Fria de Goiás,5.613 , - , - 
,Água Limpa,1.967 , - , - 
,Águas Lindas de Goiás,195.810 , 1 ,5/9/2013
,Alexânia,26.770 , 1 ,14/3/2013
,Aloândia,2.071 , - , - 
,Alto Horizonte,5.784 , - , - 
,Alto Paraíso de Goiás,7.514 , 1 ,3/5/2013
,Alvorada do Norte,8.645 , 1 ,23/4/2013
,Amaralina,3.754 , - , - 
,Americano do Brasil,6.018 , - , - 
,Amorinápolis,3.408 , - , - 
,Anápolis,375.142 , 1 ,14/3/2013
,Anhanguera,1.126 , - , - 
,Anicuns,21.746 , - , - 
,Aparecida de Goiânia,542.090 , 1 ,3/5/2013
,Aparecida do Rio Doce,2.517 , - , - 
,Aporé,4.143 , 1 ,4/11/2014
,Araçu,3.731 , - , - 
,Aragarças,19.884 , - , - 
,Aragoiânia,9.765 , - , - 
,Araquapaz,7.862 , - , - 
,Arenópolis,2.957 , - , - 
,Aruanã,9.138 , - , - 
,Aurilândia,3.422 , - , - 
,Avelinópolis,2.494 , - , - 
,Baliza,4.677 , - , - 
,Barro Alto,10.435 , 1 ,3/4/2014
,Bela Vista de Goiás,28.514 , - , - 
,Bom Jardim de Goiás,8.896 , - , - 
,Bom Jesus de Goiás,23.998 , - , - 
,Bonfinópolis,9.052 , 1 ,3/5/2013
,Bonópolis,4.143 , - , - 
,Brazabrantes,3.604 , - , - 
,Britânia,5.817 , - , - 
,Buriti Alegre,9.535 , 1 ,3/4/2014
,Buriti de Goiás,2.583 , - , - 
,Buritinópolis,3.389 , - , - 
,Cabeceiras,7.935 , - , - 
,Cachoeira Alta,12.002 , 1 ,16/5/2017
,Cachoeira de Goiás,1.414 , - , - 
,Cachoeira Dourada,8.355 , - , - 
,Caçu,15.287 , - , - 
,Caiapônia,18.505 , - , - 
,Caldas Novas,84.900 , 1 ,5/9/2013
,Caldazinha,3.703 , - , - 
,Campestre de Goiás,3.622 , - , - 
,Campinaçu,3.740 , 1 ,16/10/2014
,Campinorte,12.321 , - , - 
,Campo Alegre de Goiás,7.149 , - , - 
,Campo Limpo de Goiás,7.345 , - , - 
,Campos Belo,19.786 , - , - 
,Campos Verdes,3.399 , - , - 
,Carmo do Rio Verde,9.862 , - , - 
,Castelândia,3.610 , - , - 
,Catalão,102.393 , 1 ,15/1/2014
,Caturaí,5.041 , - , - 
,Cavalcante,9.829 , - , - 
,Ceres,22.155 , 1 ,18/6/2013
,Cezarina,8.386 , - , - 
,Chapadão do Céu,9.110 , 1 ,4/11/2014
,Cidade Ocidental,66.777 , - , - 
,Cocalzinho de Goiás,19.583 , - , - 
,Colinas do Sul,3.529 , - , - 
,Córrego do Ouro,2.514 , - , - 
,Corumbá de Goias,11.086 , 1 ,12/4/2013
,Corumbaíba,9.332 , - , - 
,Cristalina,55.347 , 1 ,14/3/2013
,Cristianópolis,3.029 , - , - 
,Crixás,16.893 , 1 ,23/2/2015
,Cromínia,3.606 , - , - 
,Cumari,2.975 , - , - 
,Damianópolis,3.389 , - , - 
,Damolândia,2.935 , - , - 
,Davinópolis,2.133 , - , - 
,Diorama,2.547 , - , - 
,Divinópolis de Goiás,4.995 , 1 ,27/11/2018
,Doverlândia,7.750 , - , - 
,Edealina,3.809 , - , - 
,Edéia,12.231 , - , - 
,Estrela do Norte,3.379 , - , - 
,Faina,6.947 , - , - 
,Fazenda Nova,6.070 , - , - 
,Firminópolis,12.923 , - , - 
,Flores de Goiás,15.111 , - , - 
,Formosa,115.789 , 1 ,3/4/2014
,Formoso,4.623 , - , - 
,Gameleira de Goiás,3.777 , - , - 
,Goianópolis,11.471 , - , - 
,Goiandira,5.605 , - , - 
,Goianésia,67.507 , 1 ,28/3/2013
,Goianira,41.169 , 1 ,21/8/2014
,Goiás,24.103 , 1 ,17/9/2013
,Goiatuba,34.312 , 1 ,4/11/2014
,Gouvelândia,5.656 , - , - 
,Guapó,14.482 , - , - 
,Guaraíta,2.206 , - , - 
,Guarani de Goiás,4.145 , - , - 
,Guarinos,2.052 , - , - 
,Heitoraí,3.757 , 1 ,7/11/2017
,Hidrolândia,20.472 , - , - 
,Hidrolina,3.852 , - , - 
,Iaciara,13.675 , 1 ,1/3/2013
,Inaciolândia,6.148 , - , - 
,Indiara,15.213 , 1 ,3/5/2013
,Inhumas,52.311 , 1 ,20/8/2013
,Ipameri,26.747 , 1 ,7/5/2014
,Ipiranga de Goiás,2.948 , - , - 
,Iporá,32.242 , 1 ,28/1/2013
,Israelândia,2.910 , - , - 
,Itaberaí,40.872 , 1 ,7/5/2014
,Itaguari,4.730 , - , - 
,Itaguaru,5.456 , 1 ,31/8/2015
,Itajá,4.876 , - , - 
,Itapaci,21.691 , 1 ,19/9/2013
,Itapirapuã,6.312 , - , - 
,Itapuranga,26.586 , 1 ,7/5/2014
,Itarumã,6.998 , - , - 
,Itauçu,9.019 , - , - 
,Itumbiara,102.513 , 1 ,30/7/2014
,Ivolândia,2.554 , - , - 
,Jandaia,6.254 , 1 ,3/12/2013
,Jaraguá,48.216 , 1 ,28/1/2013
,Jataí,98.128 , 1 ,3/5/2013
,Jaupaci,3.004 , - , - 
,Jasúpolis,2.476 , - , - 
,Joviânia,7.468 , - , - 
,Jussara,19.239 , - , - 
,Lagoa Santa,1.490 , - , - 
,Leopoldo de Bulhões,7.773 , 1 ,7/5/2014
,Luziânia,199.615 , 1 ,23/2/2015
,Mairipotaba,2.432 , - , - 
,Mambai,8.271 , - , - 
,Mara Rosa,10.228 , 1 ,16/10/2014
,Marzagão,2.226 , - , - 
,Matrinchã,4.490 , 1 ,12/2/2014
,Maurilândia,13.379 , - , - 
,Mimoso de Goiás,2.702 , - , - 
,Minaçu,30.696 , 1 ,22/6/2017
,Mineiros,62.750 , 1 ,3/7/2014
,Moiporã,1.666 , - , - 
,Monte Alegre de Goiás,8.464 , - , - 
,Montes Claros de Goiás,8.236 , - , - 
,Montividiu,12.566 , - , - 
,Montividiu do Norte,4.447 , - , - 
,Morrinhos,45.382 , - , - 
,Morro Agudo de Goiás,2.351 , - , - 
,Mossâmedes,4.700 , 1 ,28/3/2013
,Morzalândia,15.125 , - , - 
,Mundo Novo,5.661 , - , - 
,Mutunópolis,3.906 , - , - 
,Nazário,8.850 , - , - 
,Nerópolis,28.271 , 1 ,24/7/2013
,Niquelândia,45.913 , 1 ,19/9/2013
,Nova América,2.373 , 1 ,12/2/2014
,Nova Aurora,2.206 , 1 ,14/12/2018
,Nova Crixás,12.810 , - , - 
,Nova Glória,8.521 , - , - 
,Nova Iguaçu de Goiás,2.961 , - , - 
,Nova Roma,3.437 , - , - 
,Nova Veneza,9.389 , - , - 
,Novo Brasil,3.242 , - , - 
,Novo Gama,110.096 , - , - 
,Novo Planalto,4.387 , - , - 
,Orizona,15.472 , 1 ,23/4/2013
,Ouro Verde de Goiás,3.971 , - , - 
,Ouvidor,6.340 , - , - 
,Padre Bernardo,32.148 , 1 ,28/1/2013
,Palestina de Goiás,3.514 , - , - 
,Palmeiras de Goiás,27.304 , 1 ,8/12/2017
,Palmelo,2.424 , - , - 
,Palminópolis,3.667 , 1 ,2/10/2017
,Panamá de Goiás,2.712 , 1 ,23/4/2013
,Paranaiguara,9.919 , 1 ,23/6/2017
,Paraúna,11.221 , 1 ,16/5/2017
,Perolândia,3.135 , - , - 
,Petrolina de Goiás,10.548 , - , - 
,Pilar de Goiás,2.529 , - , - 
,Piracanjuba,24.885 , 1 ,12/9/2013
,Piranhas,11.022 , 1 ,7/5/2014
,Pirenópolis,24.761 , 1 ,28/3/2013
,Pires do Rio,31.151 , - , - 
,Planaltina,88.863 , 1 ,26/2/2014
,Pontalina,17.991 , - , - 
,Porangatu,45.305 , 1 ,3/5/2013
,Porteirão,3.758 , - , - 
,Portelândia,4.044 , - , - 
,Posse,35.574 , 1 ,26/2/2014
,Professor Jamil,3.360 , - , - 
,Quirinópolis,48.508 , 1 ,28/3/2013
,Rialma,11.036 , 1 ,9/10/2013
,Rianópolis,4.828 , 1 ,16/10/2014
,Rio Quente,4.112 , - , - 
,Rio Verde,217.048 , 1 ,13/12/2013
,Rubiataba,19.994 , 1 ,3/7/2014
,Sanclerlândia,7.798 , - , - 
,Santa Bárbara de Goiás,6.393 , 1 ,1/3/2013
,Santa Cruz de Goiás,3.048 , 1 ,18/6/2013
,Santa Fé de Goiás,5.309 , - , - 
,Santa Helena de Goiás,38.743 , - , - 
,Santa Izabel,3.857 , - , - 
,Santa Rita do Araguaia,8.218 , 1 ,19/4/2017
,Santa Rita do Novo Destino,3.359 , - , - 
,Santa Rosa de Goiás,2.626 , - , - 
,Santa Tereza de Goiás,3.710 , - , - 
,Santa Terezinha de Goiás,9.622 , - , - 
,Santo Antônio da Barra,4.780 , 1 ,30/10/2013
,Santo Antônio de Goiás,5.787 , - , - 
,Santo Antônio do Descoberto,71.887 , 1 ,23/2/2015
,São Domingos,12.585 , - , - 
,São Francisco de Goiás,6.366 , - , - 
,São João D'Aliança,12.643 , - , - 
,São João da Paraúna,1.547 , - , - 
,São Luis de Montes Belos,33.118 , 1 ,12/12/2014
,São Luiz do Norte,5.071 , - , - 
,São Miguel do Araguaia,22.684 , 1 ,7/5/2014
,São Miguel do Passa Quatro,4.037 , - , - 
,São Patricio,2.070 , - , - 
,São Simão,19.697 , 1 ,12/2/2014
,Senador Canedo,105.459 , 1 ,5/2/2014
,Serranópolis,8.323 , 1 ,28/3/2013
,Silvânia,20.478 , 1 ,16/8/2013
,Simolândia,6.891 , - , - 
,Sítio D'Abadia,2.998 , - , - 
,Taquaral de Goiás,3.625 , - , - 
,Teresina de Goiás,3.363 , - , - 
,Terezópolis de Goiás,7.634 , - , - 
,Três Ranchos,2.900 , - , - 
,Trindade,121.266 , - , - 
,Trombas,3.571 , - , - 
,Turvânia,4.818 , - , - 
,Turvelândia,5.050 , 1 ,7/5/2014
,Uirapuru,2.961 , - , - 
,Uruaçu,40.082 , 1 ,23/4/2013
,Uruana,14.195 , 1 ,28/3/2013
,Urutaí,3.154 , 1 ,30/11/2017
,Valparaiso de Goiás,159.500 , 1 ,30/7/2014
,Varjão,3.856 , - , - 
,Vianópolis,13.675 , - , - 
,Vicentinópolis,8.397 , - , - 
,Vila Boa,5.731 , - , - 
,Vila Propício,5.690 , - , - 
,MARANHÃO,7.000.229, Sim ,7/3/2013
,São Luis ,1.091.868 , 1 ,12/2/2014
,Açailândia,111.339 , - , - 
,Afonso Cunha,6.486 , 1 ,4/2/2013
,Água Doce do Maranhão,12.457 , 1 ,26/2/2014
,Alcântara,21.673 , 1 ,29/7/2013
,Aldeias Altas,26.387 , 1 ,3/5/2013
,Altamira do Maranhão,8.070 , - , - 
,Alto Alegre do Maranhão,26.872 , 1 ,3/12/2013
,Alto Alegre do Pindaré,31.312 , - , - 
,Alto Parnaíba,11.001 , 1 ,7/1/2015
,Amapá do Maranhão,6.895 , 1 ,4/11/2014
,Amarante do Maranhão,41.106 , 1 ,15/1/2014
,Anajatuba,27.352 , 1 ,7/5/2014
,Anapurus,15.696 , 1 ,7/5/2014
,Apicum-Açu,18.374 , 1 ,29/7/2013
,Araguanã,15.332 , 1 ,30/7/2014
,Araioses,46.074 , 1 ,19/4/2013
,Arame,32.145 , - , - 
,Arari,29.388 , 1 ,4/2/2013
,Axixá,11.975 , - , - 
,Bacabal,103.359 , 1 ,7/1/2015
,Bacabeira,17.053 , 1 ,22/7/2013
,Bacuri,17.435 , 1 ,12/2/2014
,Bacurituba,5.574 , 1 ,12/2/2014
,Balsas,94.779 , 1 ,13/12/2013
,Barão de Grajaú,18.619 , - , - 
,Barra do Corda,87.135 , 1 ,14/8/2013
,Barreirinhas,62.458 , - , - 
,Bela Vista do Maranhão,7.422 , - , - 
,Belágua,11.103 , - , - 
,Benedito Leite,5.528 , - , - 
,Bequimão,20.881 , 1 ,15/1/2014
,Bernardo do  Mearim,5.973 , - , - 
,Boa Vista do Gurupi,9.320 , - , - 
,Bom Jardim,41.120 , 1 ,16/9/2014
,Bom Jesus das Selvas,34.278 , - , - 
,Bom Lugar,16.214 , 1 ,5/2/2014
,Brejo ,36.102 , 1 ,29/7/2013
,Brejo de Areia,8.696 , - , - 
,Buriti,28.306 , 1 ,12/12/2014
,Buriti Bravo,23.495 , 1 ,30/7/2014
,Buriticupu,71.979 , 1 ,7/5/2014
,Buritirana,15.180 , 1 ,15/1/2014
,Cachoeira Grande,8.930 , 1 ,21/7/2014
,Cajapió,11.019 , - , - 
,Cajari,19.110 , - , - 
,Campestre do Maranhão,14.219 , - , - 
,Cândido Mendes,19.943 , - , - 
,Cantanhede,21.759 , 1 ,11/4/2013
,Capinzal do Norte,10.713 , 1 ,15/1/2014
,Carolina,23.803 , - , - 
,Carutapera,23.576 , - , - 
,Caxias,162.657 , 1 ,3/5/2013
,Cedral,10.490 , 1 ,15/1/2014
,Central do Maranhão,8.615 , - , - 
,Centro do Guilherme,13.555 , 1 ,5/2/2014
,Centro Novo do Maranhão,21.565 , 1 ,21/7/2014
,Chapadinha,78.965 , 1 ,15/1/2014
,Cidelândia,14.539 , 1 ,22/7/2013
,Codó,120.810 , 1 ,15/1/2014
,Coelho Neto,48.756 , - , - 
,Colinas,40.575 , 1 ,3/7/2014
,Conceição do Lago-Açu,16.192 , - , - 
,Coroatá,64.403 , - , - 
,Cururupu,30.706 , 1 ,13/12/2013
,Davinópolis,12.659 , - , - 
,Dom Pedro,22.912 , - , - 
,Duque Bacelar,11.208 , 1 ,21/3/2013
,Esperantinópolis,16.653 , 1 ,12/2/2014
,Estreito,42.110 , 1 ,18/1/2013
,Feira Nova do Maranhão,8.372 , 1 ,15/1/2014
,Fernando Falcão,10.326 , - , - 
,Formosa da Serra Negra,18.997 , 1 ,6/9/2013
,Fortaleza dos Nogueiras,12.403 , 1 ,18/6/2013
,Fortuna,15.262 , - , - 
,Godofredo Viana,11.830 , 1 ,5/2/2014
,Gonçalves Dias,17.586 , 1 ,15/1/2014
,Governador Archer,10.700 , 1 ,21/7/2014
,Governador Edison Lobão,18.316 , 1 ,7/11/2017
,Governador Eugênio Barros,16.582 , - , - 
,Governador Luiz Rocha,7.708 , 1 ,19/9/2013
,Governador Newton Bello,9.921 , 1 ,12/2/2014
,Governador Nunes Freire,24.991 , 1 ,26/2/2014
,Graça Aranha,6.134 , 1 ,3/12/2013
,Grajaú,69.232 , 1 ,4/11/2014
,Guimarães,11.728 , 1 ,12/2/2014
,Humberto de Campos,28.509 , 1 ,1/3/2013
,Icatu,26.835 , 1 ,19/9/2013
,Igarapé do Meio,14.147 , - , - 
,Igarapé Grande,11.206 , - , - 
,Imperatriz,254.569 , 1 ,29/7/2013
,Itaipava do Grajaú,16.009 , - , - 
,Itapecuru Mirim,67.726 , - , - 
,Itinga do Maranhão,25.589 , - , - 
,Jatobá,10.221 , - , - 
,Jenipapo dos Vieiras,16.321 , 1 ,25/11/2013
,João Lisboa,23.042 , 1 ,3/6/2013
,Joselândia,15.891 , 1 ,3/12/2013
,Junco do Maranhão,3.237 , 1 ,16/8/2013
,Lago da Pedra,49.856 , 1 ,21/3/2013
,Lago do Junco,10.672 , 1 ,29/7/2013
,Lago dos Rodrigues,16.025 , 1 ,15/1/2014
,Lago Verde,11.048 , 1 ,19/4/2013
,Lagoa do Mato,8.664 , 1 ,21/8/2014
,Lagoa Grande do Maranhão,11.286 , 1 ,15/1/2014
,Lajeado Novo,7.489 , - , - 
,Lima Campos,11.695 , - , - 
,Loreto,12.009 , 1 ,21/3/2013
,Luis Domingues,6.867 , - , - 
,Magalhães de Almeida,19.779 , - , - 
,Maracaçumé,21.293 , - , - 
,Marajá do Sena,7.604 , 1 ,15/1/2014
,Maranhãozinho,16.366 , - , - 
,Mata Roma,16.745 , - , - 
,Matinha,23.091 , - , - 
,Matões,33.374 , - , - 
,Matões do Norte,16.908 , 1 ,21/3/2013
,Milagres do Maranhão,8.326 , - , - 
,Mirador,20.613 , - , - 
,Miranda do Norte,28.456 , - , - 
,Mirinzal,14.744 , - , - 
,Monção,33.156 , 1 ,15/1/2014
,Montes Altos,8.889 , - , - 
,Morros,19.282 , 1 ,19/4/2013
,Nina Rodrigues,14.489 , - , - 
,Nova Colinas,5.350 , - , - 
,Nova Iorque,4.586 , - , - 
