,ente,população,estado_do_processo,data_adesao
,Benjamin Constant,41.329 , 1 ,30/11/2017
,Beruri,18.978 , 1 ,15/1/2014
,Boa Vista do Ramos,18.483 , - , - 
,Boca do Acre,34.176 , 1 ,5/9/2013
,Borba,40.464 , - , - 
,Caapiranga,12.820 , - , - 
,Canutama,15.490 , - , - 
,Carauari,28.337 , - , - 
,Careiro,37.399 , - , - 
,Careiro da Várzea,29.190 , - , - 
,Coari,84.762 , - , - 
,Codajás,27.817 , - , - 
,Eirunepé,34.888 , - , - 
,Envira,19.492 , - , - 
,Fonte Boas,19.669 , - , - 
,Guajará,16.339 , - , - 
,Humaitá,53.383 , 1 ,23/4/2013
,Ipixuna,28.299 , - , - 
,Iranduba,47.407 , 1 ,24/7/2013
,Itacoatiara,99.854 , - , - 
,Itamarati,8.128 , - , - 
,Itapiranga,9.125 , - , - 
,Japurá,4.205 , - , - 
,Juruá,13.956 , - , - 
,Jutaí,15.824 , - , - 
,Lábrea,44.861 , - , - 
,Manacapuru,96.460 , 1 ,6/9/2013
,Manaquiri,30.222, - , - 
,Manicoré,54.708 , 1 ,23/11/2017
,Maraã,18.531 , - , - 
,Maués,62.212 , 1 ,27/10/2015
,Nhamundá,20.902 , 1 ,3/5/2013
,Nova Olinda do Norte,36.431 , - , - 
,Novo Airão,18.586 , 1 ,21/8/2014
,Novo Aripuanã,25.112 , - , - 
,Parintins,113.832 , - , - 
,Pauini,19.597 , - , - 
,Presidente Figueiredo,34.574 , 1 ,25/11/2013
,Rio Preto da Eva,32.001 , 1 ,3/12/2013
,Santa Isabel do Rio Negro,23.765, - , - 
,Santo Antônio do Içá,23.075 , - , - 
,São Gabriel da Cachoeira,44.553 , 1 ,16/9/2014
,São Paulo de Olivença,38.047 , - , - 
,São Sebastião do Uatumã,13.421 , - , - 
,Silves,9.211 , - , - 
,Tabatinga,63.635 , - , - 
,Tapauá,17.930 , - , - 
,Tefé,62.021 , - , - 
,Tonantins,18.782 , - , - 
,Uarini,13.428, - , - 
,Urucará,16.968, - , - 
,Urucurituba,22.148 , - , - 
,BAHIA,15.344.447, Sim ,11/4/2013
,Salvador,2.953.986 , 1 ,19/4/2013
,Abaíra,9.199 , - , - 
,Abaré,20.189 , 1 ,27/4/2017
,Acajutiba,15.727 , - , - 
,Adustina,17.349 , - , - 
,Água Fria,17.508 , 1 ,3/6/2013
,Aiquara,4.725 , - , - 
,Alagoinhas,155.979 , 1 ,3/6/2013
,Alcobaça,23.376 , - , - 
,Almadina,5.985 , - , - 
,Amargosa,38.259 , 1 ,3/7/2014
,Amélia Rodrigues,26.409 , 1 ,22/7/2013
,América Dourada,16.798 , 1 ,3/6/2013
,Anagé,19.568 , 1 ,24/4/2015
,Andaraí,13.737 , 1 ,22/1/2013
,Andorinha,15.490 , 1 ,17/9/2013
,Angical,14.690 , 1 ,12/12/2014
,Anguera,11.481 , - , - 
,Antas,19.569 , - , - 
,Antônio Cardoso,12.208 , 1 ,3/5/2013
,Antônio Gonçalves,12.072 , - , - 
,Aporá,18.334 , - , - 
,Apuarema,7.730 , - , - 
,Araças,13.962 , - , - 
,Aracatu,12.608 , - , - 
,Araci,55.935 , 1 ,5/9/2013
,Aramarí,11.703 , 1 ,24/1/2018
,Arataca,11.661 , - , - 
,Aratuípe,9.171 , - , - 
,Aurelino Leal,12.706 , 1 ,14/8/2013
,Baianópolis,14.323 , - , - 
,Baixa Grande,21.403 , - , - 
,Banzaê,13.765 , 1 ,3/5/2013
,Barra,54.915 , - , - 
,Barra da Estiva,22.082 , - ,
,Barra do Choça,34.121 , - ,
,Barra dos Mendes,14.560 , - , - 
,Barra do Rocha,6.258 , 1 ,15/1/2014
,Barreiras,157.638 , 1 ,20/11/2014
,Barro Alto,15.217 , 1 ,3/5/2013
,Barrocas,16.296 , - , - 
,Barro Preto,6.251 , 1 ,19/4/2017
,Belmonte,24.013 , 1 ,3/12/2013
,Belo Campo,18.247 , - , - 
,Biritinga,16.653 , - , - 
,Boa Nova,14.069 , 1 ,10/5/2018
,Boa Vista do Tupim,19.502 , 1 ,5/2/2014
,Bom Jesus da Lapa,70.618 , 1 ,2/5/2017
,Bom Jesus da Serra,10.477 , - , - 
,Boninal,14.760 , - , - 
,Bonito,17.131 , 1 ,24/5/2017
,Boquira,22.464 , - , - 
,Botuporã,10.898 , - , - 
,Brejões,15.122 , 1 ,16/8/2013
,Brejolândia,10.833 , - , - 
,Brotas de  Macaúbas,10.974 , 1 ,24/5/2017
,Brumado,69.677 , - , - 
,Buerarema,19.256 , - , - 
,Buritirama,21.786 , - , - 
,Caatiba,7.841 , - , - 
,Cabaceiros do Paraguaçu,19.312 , - , - 
,Cachoeira,35.139 , 1 ,24/7/2013
,Caculé,23.817 , 1 ,3/4/2014
,Caém,10.058 , - , - 
,Caetanos,16.106 , - , - 
,Caetité,52.853 , - , - 
,Cafarnaum,19.006 , - , - 
