NOME_MUNICIPIO [-],CODIGO [-],GENTILICO [-],PREFEITO [2017],AREA - AREA [2017],POPESTIMADA - POPESTIMADA [2018],DENSIDADE - DENSIDADE [2010],IDHM [2010],RECEITAS - REAL_MIL [2017],DESPESAS - REAL_MIL [2017],PIB - REAL [2016],
Santa Terezinha de Goiás,5219704,terezinhense,MARCOS FERREIRA CABRAL,1202246,8931,8.57,701,24524,22606,13239.96,
Santo Antônio da Barra,5219712,santatoniense,SIRLEIDE RAMOS FERREIRA,451598,4787,9.79,691,22113,18065,37196.51,
Santo Antônio de Goiás,5219738,santoantoniense,FREDERICO MARQUES DE OLIVEIRA,132805,6123,35.41,723,23917,20388,22391.02,
Santo Antônio do Descoberto,5219753,descobertense,ADOLPHO ROBERTO SOUZA VON LOHRMANN,944145,73636,66.99,665,121005,121025,8320.50,
São Domingos,5219803,dominicano,CLEITON GONÇALVES MARTINS,3295740,12791,3.42,597,31683,27082,11816.12,
São Francisco de Goiás,5219902,franciscano,WILMAR FERREIRA DA SILVA,415791,6260,14.72,651,18235,16019,14625.31,
São João d'Aliança,5220009,são-joanense,DÉBORA DOMINGUES CARVALHÊDO BARROS,3327379,13387,3.08,685,54752,29873,23186.59,
São João da Paraúna,5220058,joanino,JOÃO BATISTA DE FIGUEREDO NETO,287825,1417,5.87,724,14152,12504,29900.52,
São Luís de Montes Belos,5220108,monte-belense,ELDECIRIO DA SILVA,825999,33470,36.36,731,90064,79679,23906.00,
São Luiz do Norte,5220157,são-luizense,JACOB FERREIRA,586058,5117,7.88,669,22697,18298,18096.49,
São Miguel do Araguaia,5220207,são-miguelense,NELIO PONTES DA CUNHA,6148795,22067,3.63,664,67533,69650,22635.52,
São Miguel do Passa Quatro,5220264,passa-quatrense,MARCIO CECILIO CECILIANO,537785,4032,6.99,697,18652,15136,32025.88,
São Patrício,5220280,sampatriciense,JOAO EUSTAQUIO CORDEIRO,171957,2035,11.58,693,15143,11992,17277.84,
São Simão,5220405,canalense,WILBER FLORIANO FERREIRA,414222,20297,41.27,720,102819,85732,121806.46,
Senador Canedo,5220454,canedense,DIVINO PEREIRA LEMES,248291,112224,344.27,701,459401,387550,33136.31,
Serranópolis,5220504,serranopolino,TARCIO DUTRA,5526723,8323,1.35,681,34593,34901,52079.49,
Silvânia,5220603,silvaniense,JOSE DA SILVA FALEIRO,2345940,20573,8.14,709,58264,57558,30457.89,
Simolândia,5220686,simolandense,ADEMAR ANTONIO DA SILVA,347976,6832,18.72,645,19095,16251,13216.64,
Sítio d'Abadia,5220702,sitiense,WEBER REIS LACERDA,1598049,2977,1.77,617,15779,11872,12330.50,
Taquaral de Goiás,5221007,taquaralense,HELIO GONTIJO DE OLIVEIRA,204218,3537,17.34,716,16473,13549,15609.85,
Teresina de Goiás,5221080,teresinense,JOSAQUIM MIRANDA,774639,3416,3.89,661,14749,13498,8934.51,
Terezópolis de Goiás,5221197,terezopolino,FRANCISCO ALVES DE SOUSA JUNIOR,106913,7897,61.37,685,23859,21050,24369.39,
Três Ranchos,5221304,triranchense,HUGO DELEON DE CARVALHO COSTA,282071,2837,9.99,745,18794,16600,15079.68,
Trindade,5221403,trindadense,JÂNIO CARLOS ALVES FREIRE,710328,125328,147.02,699,217743,177347,16276.89,
Trombas,5221452,trombense,AGOSTINHO DA NOBREGA RODRIGUES,799125,3501,4.32,653,16118,14286,12673.01,
Turvânia,5221502,turvaniense,FAUSTO MARIANO GONÇALVES,480775,4633,10.06,697,12720,15087,18252.03,
Turvelândia,5221551,turvelandense,SIRON QUEIROZ DOS SANTOS,933957,5050,4.71,691,33862,27504,81567.20,
Uirapuru,5221577,uirapuruense,AILTON NERI DE AMORIM,1153475,2868,2.54,670,13600,13235,14815.38,
Uruaçu,5221601,uruaçuense,VALMIR PEDRO TEREZA,2141822,40217,17.24,737,88886,82795,18774.45,
Uruana,5221700,uruanense,CASSIO GUSMAO DE OLIVEIRA,522506,13868,26.46,703,33150,29689,14343.91,
Urutaí,5221809,urutaíno,AILTON MARTINS DE OLIVEIRA,626722,3078,4.90,732,16027,15952,26598.50,
Valparaíso de Goiás,5221858,valparaisense,PABIO CORREIA LOPES,61450,164723,2165.48,746,331984,285683,14699.68,
Varjão,5221908,varjãoense,VALDIVINO MARTINS DA SILVA,519194,3816,7.05,687,15937,13251,15139.67,
Vianópolis,5222005,vianopolino,ISSY QUINAN JUNIOR,954284,13746,13.15,712,45423,44430,27534.21,
Vicentinópolis,5222054,vicentinopolino,NEILTON FERREIRA DE OZEDA,737255,8611,10.00,684,35433,29295,41609.86,
Vila Boa,5222203,vilaboense,FELIPE ALVES SANTANA,1060172,6026,4.47,647,19159,19159,23565.00,
Vila Propício,5222302,propiciense,CIRLEI RODRIGUES DE ARAÚJO,2181583,5758,2.36,634,20688,19047,37431.13,
Açailândia,2100055,açailandense,JUSCELINO OLIVEIRA E SILVA,5806439,111757,17.92,672,276417,247664,18088.40,
Afonso Cunha,2100105,afonso-cunhense,ARQUIMEDES AMERICO BACELAR,371338,6469,15.90,529,19341,18841,5522.39,
Água Doce do Maranhão,2100154,aguadocense,THALITA E SILVA CARVALHO DIAS,443267,12488,26.13,500,25837,25103,5929.38,
Alcântara,2100204,alcantarense,ANDERSON WILKER DE ABREU ARAUJO,1457916,22083,14.70,573,40694,42949,5422.74,
Aldeias Altas,2100303,aldeias-altense,JOSÉ REIS NETO,1942121,26302,12.33,513,60699,57293,6481.02,
Altamira do Maranhão,2100402,altamirense,RICARDO ALMEIDA MIRANDA,523789,8066,15.34,549,28548,24978,6091.48,
Alto Alegre do Maranhão,2100436,alto-alegrense,EMMANUEL DA CUNHA SANTOS AROSO NETO,383308,26839,64.18,554,48180,47273,8152.96,
Alto Alegre do Pindaré,2100477,alto-alegrense,FRANCISCO DANTAS RIBEIRO FILHO,1876032,31894,16.07,558,70795,68524,5611.29,
Alto Parnaíba,2100501,alto-parnaibano,RUBENS SUSSUMU OGASAWARA,11132176,11168,0.97,633,34242,32154,16837.39,
Amapá do Maranhão,2100550,amapaense,TATIANE MAIA DE OLIVEIRA,502402,6918,12.80,520,16725.21089,18388.68753,7108.69,
Amarante do Maranhão,2100600,amarantino,JOICE OLIVEIRA MARINHO,7438217,41136,5.10,555,74475,67137,6997.90,
Anajatuba,2100709,anajatubense,SYDNEI COSTA PEREIRA,1011135,26614,25.01,581,53011,66752,6404.32,
Anapurus,2100808,anapuruense,VANDERLY DE SOUSA DO NASCIMENTO MONTELES,608292,15566,22.91,581,51064,38190,8618.41,
Apicum-Açu,2100832,apicum-açuense,CLAUDIO LUIZ LIMA CUNHA,488806,17063,42.36,568,37608,36703,5708.63,
Araguanã,2100873,araguanaense,VALMIR BELO AMORIM,805193,15297,17.35,533,32545,32295,5090.81,
Araioses,2100907,araiosense,CRISTINO GONÇALVES DE ARAUJO,1782598,46103,23.84,521,69274,71709,5672.48,
Arame,2100956,aramense,JULLY HALLY ALVES DE MENEZES,2976039,32637,10.54,512,53493,58273,6929.19,
Arari,2101004,arariense,DJALMA DE MELO MACHADO,1100275,29764,25.89,626,61500,58960,8014.17,
Axixá,2101103,axixaense,MARIA SONIA OLIVEIRA CAMPOS,203153,12076,56.15,641,26030,22297,5873.19,
Bacabal,2101202,bacabalense,EDVAN BRANDÃO DE FARIAS,1683073,104633,59.43,651,197416,186109,10949.06,
Bacabeira,2101251,bacabeirense,CARLA FERNANDA DO REGO GONÇALO,615589,16855,24.25,629,52890,45827,20480.16,
Bacuri,2101301,bacuriense,WASHINGTON LUIS DE OLIVEIRA,823723,18508,21.07,578,34781,30546,5489.47,
Bacurituba,2101350,bacuritubense,JOSE SISTO RIBEIRO SILVA,674512,5617,7.85,537,16573,16100,6046.72,
Balsas,2101400,balsense,ERIK AUGUSTO COSTA E SILVA,13141757,93826,6.36,687,226600,221467,25591.91,
Barão de Grajaú,2101509,baronense,GLEYDSON RESENDE DA SILVA,2208324,18714,7.94,592,39741,40115,12470.97,
Barra do Corda,2101608,barra-cordense,WELLRYK OLIVEIRA COSTA DA SILVA,5190339,87794,15.92,606,137227,146686,6941.90,
Barreirinhas,2101707,barreirinhense,ALBÉRICO DE FRANÇA FERREIRA FILHO,3026540,61828,17.65,570,129536,105245,7284.41,
Belágua,2101731,belaguaense,HERLON COSTA LIMA,569428,7409,13.06,512,20075,21657,5658.32,
Bela Vista do Maranhão,2101772,bela-vistense,ORIAS DE OLIVEIRA MENDES,147954,11138,47.15,554,30726,30107,6828.18,
Benedito Leite,2101806,beneleitense,RAMON CARVALHO DE BARROS,1781734,5627,3.07,546,14559,13101,6542.84,
Bequimão,2101905,bequimãoense,ANTONIO JOSE MARTINS,797716,21260,26.46,601,40131,41176,5340.60,
Bernardo do Mearim,2101939,bernardense,EUDINA COSTA PINHEIRO,247221,6011,22.93,604,18649,17529,8359.12,
Boa Vista do Gurupi,2101970,boa-vistense,ANTÔNIO BATISTA DE OLIVEIRA,403460,9158,19.70,545,18046,16464,6113.02,
Bom Jardim,2102002,bom jardinense,FRANCISCO ALVES DE ARAÚJO,6590531,41435,5.93,538,86335,78006,6809.03,
Bom Jesus das Selvas,2102036,bom-jesuense,LUIS FERNANDO LOPES COELHO,2679074,33479,10.62,558,65141,65667,7530.74,
Bom Lugar,2102077,bom-lugarense,LUCIENE ALVES DUARTE,445476,16148,33.23,562,29341,24529,5408.78,
Brejo,2102101,brejense,JOSÉ FARIAS DE CASTRO,1074631,36139,31.04,562,64383,63830,6392.68,
Brejo de Areia,2102150,brejareiense,FRANCISCO ALVES DA SILVA,986036,9367,15.39,519,24379,22395,5953.26,
Buriti,2102200,buritiense,LOURINALDO BATISTA DA SILVA,1473964,28557,18.33,548,61245,54595,5812.29,
Buriti Bravo,2102309,buriti-bravense,CID PEREIRA DA COSTA,1582552,23827,14.47,590,43905,45530,6487.05,
Buriticupu,2102325,buriticupuense,JOSÉ GOMES  RODRIGUES,2545441,71723,25.63,556,137130,116238,6881.50,
Buritirana,2102358,buritiranense,VAGTONIO BRANDAO DOS SANTOS,818424,15393,18.06,583,33896,32412,6050.74,
Cachoeira Grande,2102374,cachoeirense,ANTONIO ATAIDE MATOS DE PINHO,705625,9382,11.97,537,20191,23826,6333.60,
Cajapió,2102408,cajapioense,MARCONE PINHEIRO MARQUES,908729,11136,11.66,553,21717,19408,4689.38,
Cajari,2102507,cajariense,CAMYLA JANSEN PEREIRA SANTOS,662065,19307,27.70,523,41227,34447,5135.90,
Campestre do Maranhão,2102556,campestrino,VALMIR DE MORAIS LIMA,615384,14294,21.72,652,34574,31751,10521.12,
Cândido Mendes,2102606,cândido-mendense,JOSE RIBAMAR LEITE DE ARAUJO,1640756,20076,11.33,561,39319,34715,6291.51,
Cantanhede,2102705,cantanhedense,MARCO ANTONIO RODRIGUES DE SOUSA,773010,21872,26.45,565,46426,45441,5636.11,
Capinzal do Norte,2102754,capinzalense,ANDRE PEREIRA DA SILVA,590529,10932,18.12,537,36764,40933,10529.89,
Carolina,2102804,carolinense,ERIVELTON TEIXEIRA NEVES,6441603,24337,3.72,634,55771,56206,10165.97,
Carutapera,2102903,carutaperense,ANDRE SANTOS DOURADO,1232080,23658,17.86,574,44061,40840,6970.54,
Caxias,2103000,caxiense,FABIO JOSE GENTIL PEREIRA ROSA,5196769,164224,30.12,624,371848,347300,10276.68,
Cedral,2103109,cedralense,JADSON PASSINHO GONÇALVES,283186,10657,36.36,605,21502,21720,5444.31,
Central do Maranhão,2103125,centralense,EPITACIO AZEVEDO FLOR,319053,8604,24.70,585,19934,17038,5077.34,
Centro do Guilherme,2103158,centroguilhermense,JOSÉ SOARES DE LIMA,1167848,13243,11.70,542,30426,31724,5307.20,
Centro Novo do Maranhão,2103174,centronovense,MARIA TEIXEIRA SILVA DA SILVA,8369793,21399,2.13,518,42789,41165,6762.24,
Chapadinha,2103208,chapadinhense,MAGNO AUGUSTO BACELAR NUNES,3247385,79145,22.59,604,131668,129218,8365.88,
Cidelândia,2103257,cidelandense,FERNANDO AUGUSTO COELHO TEIXEIRA,1464034,14617,9.34,600,35348,47565,9257.83,
Codó,2103307,codoense,FRANCISCO NAGIB BUZAR DE OLIVEIRA,4361344,122597,27.06,595,224961,201744,8491.94,
Coelho Neto,2103406,coelho-netense,AMÉRICO DE SOUSA DOS SANTOS,975543,49246,47.92,564,96117,92243,7738.13,
Colinas,2103505,colinense,VALMIRA MIRANDA DA SILVA BARROSO,1980551,41042,19.76,596,73451,73227,7491.48,
Conceição do Lago-Açu,2103554,lagoaçuense,DIVINO ALEXANDRE DE LIMA,733228,16072,19.69,512,35310,33722,6726.37,
Coroatá,2103604,coroataense,LUIS MENDES FERREIRA FILHO,2263772,65044,27.27,576,113292,134327,6238.60,
Cururupu,2103703,cururupuense,ROSÁRIA DE FATIMA CHAVES,1093062,32765,26.69,612,55629,66931,6547.60,
Davinópolis,2103752,davinopolitano,RAIMUNDO NONATO DE ALMEIDA SANTOS,335767,12659,37.46,607,27150,25752,56655.59,
Dom Pedro,2103802,dom-pedrense,HERNANDO DIAS DE MACEDO,358493,23328,63.27,622,5687,6365,9479.79,
Duque Bacelar,2103901,bacelarense,JORGE LUIZ BRITO DE OLIVEIRA,317921,11296,33.50,533,32722,29697,5776.25,
Esperantinópolis,2104008,esperantinopense,ALUISIO CARNEIRO FILHO,452439,17379,38.37,586,39290,35768,7828.26,
Estreito,2104057,estreitense,CICERO NECO MORAIS,2718978,41355,13.18,659,96575,96219,16604.90,
Feira Nova do Maranhão,2104073,nova-feirense,TIAGO RIBEIRO DANTAS,1473414,8481,5.52,532,19588,17230,8045.02,
Fernando Falcão,2104081,fernandense,ADAILTON FERREIRA CAVALCANTE,5086589,10258,1.82,443,28140,26666,5120.66,
Formosa da Serra Negra,2104099,formosense,JANES CLEI DA SILVA REIS,3690610,18917,4.49,556,37604,33929,7003.35,
Fortaleza dos Nogueiras,2104107,fortalezense,ALEANDRO GONÇALVES PASSARINHO,1853994,12615,7.00,616,34199,29536,10323.92,
Fortuna,2104206,fortunense,ARLINDO BARBOSA DOS SANTOS FILHO,694997,15536,21.72,580,35724,33205,6384.25,
Godofredo Viana,2104305,godofredense,SHIRLEY VIANA MOTA,667325,11672,15.75,604,30214,27622,5946.04,
Gonçalves Dias,2104404,gonçalvino,ANTONIO SOARES DE SENA,883588,17924,19.79,568,36381,35862,6299.75,
Governador Archer,2104503,archense,MARIA DE JESUS MONTEIRO DOS SANTOS,445856,10793,22.89,565,25236,23230,6720.65,
Governador Edison Lobão,2104552,edison-lobense,GERALDO EVANDRO BRAGA DE SOUSA,615860,18068,25.81,629,39527,41524,17227.18,
Governador Eugênio Barros,2104602,eugenio-barrense,MARIA DA LUZ BANDEIRA BEZERRA FIGUEIREDO,816990,16772,19.57,572,34231,34910,5670.63,
Governador Luiz Rocha,2104628,luiz-rochense,JOSÉ DE RIBAMAR SILVA SANTOS,373164,7772,19.66,544,16422,14724,6425.62,
Governador Newton Bello,2104651,newton-belense,ROBERTO SILVA ARAUJO,1144074,10211,10.27,521,23410,21279,6206.85,
Governador Nunes Freire,2104677,nunes-freirense,INDALECIO WANDERLEI VIEIRA FONSECA,1037130,25616,24.49,569,54744,56990,7528.88,
Graça Aranha,2104701,graçaranhense,JOSENEWTON GUIAMARAES DAMASCENO,271445,6263,22.62,570,14601.57112,12596.94144,6336.86,
Grajaú,2104800,grajauense,MERCIAL LIMA DE ARRUDA,8863570,68876,7.03,609,132593,126383,8309.80,
Guimarães,2104909,vimaranense,BENEDITA MARGARETE MATOS RIBEIRO,595382,12063,20.29,625,24511,24797,6068.39,
Humberto de Campos,2105005,humbertoense,JOSE RIBAMAR REIBEIRO FONSECA,2131246,28498,12.29,535,58526,53164,4835.96,
Icatu,2105104,icatuense,JOSE RIBAMAR MOREIRA GONÇALVES,1448778,26953,17.36,546,50759,51949,5079.11,
Igarapé do Meio,2105153,igarapeense,JOSÉ ALMEIDA DE SOUSA,368685,14026,34.04,569,41184,36622,11242.88,
Igarapé Grande,2105203,igarapé-grandense,ERLANIO FURTADO LUNA XAVIER,346098,11252,29.50,614,26783,26928,7352.96,
Imperatriz,2105302,imperatrizense,FRANCISCO DE ASSIS ANDRADE RAMOS,1368988,258016,180.79,731,603764,564798,27482.99,
Itaipava do Grajaú,2105351,itaipavense,JOAO GONCALVES DE LIMA FILHO,1238914,15897,11.54,518,30835,31215,4867.30,
Itapecuru Mirim,2105401,itapecuruense,MIGUEL LAUAND FONSECA,1471438,67673,42.21,599,112748,115005,8215.49,
Itinga do Maranhão,2105427,itinguense,LÚCIO FLÁVIO ARAÚJO OLIVEIRA,3581716,25932,6.94,630,58747,54232,10562.80,
Jatobá,2105450,jatobaense,FRANCISCA CONSUELO LIMA DA SILVA,591384,9993,14.42,561,19256,18576,5553.69,
Jenipapo dos Vieiras,2105476,jenipapoense,MOISES JORGE SILVA DE OLIVEIRA,1962899,16432,7.87,490,35568,35451,5345.79,
João Lisboa,2105500,joão-lisboense,JAIRO MADEIRA DE COIMBRA,1135211,23696,32.00,641,52757,50472,8692.24,
Joselândia,2105609,joselandense,WABNER FEITOSA SOARES,703513,16136,22.64,561,31526,38002,6080.24,
Junco do Maranhão,2105658,juncoense,ANTONIO RODRIGUES DO NASCIMENTO FILHO,555088,3506,7.24,552,18356,13596,11766.26,
Lago da Pedra,2105708,lago-pedrense,LAERCIO COELHO ARRUDA,1240444,49911,37.15,589,366,75254,7309.94,
Lago do Junco,2105807,juncoense,OSMAR FONSECA DOS SANTOS,328525,10808,34.72,581,28814,29163,6292.33,
Lago Verde,2105906,lago-verdense,FRANCISCO CLIDENOR FERREIRA DO NASCIMENT,623237,16199,24.73,557,32557.3274,27157.62923,6083.36,
Lagoa do Mato,2105922,lagoense,ALEXSANDRE GUIMARAES DUARTE,1512985,11235,6.48,566,28559.52877,25239.79323,6038.62,
Lago dos Rodrigues,2105948,lago-rodriguense,EDIJACIR PEREIRA LEITE,220776,8889,43.21,602,20660,19295,7904.70,
Lagoa Grande do Maranhão,2105963,lagoa-grandense,FRANCISCO SILVA FREITAS,744201,11320,14.13,502,27188,23999,6102.82,
Lajeado Novo,2105989,lajeadense,RAIMUNDINHO GOMES BARROS,1064455,7496,6.61,589,26900,18951,9032.38,
Lima Campos,2106003,lima-campense,JAILSON FAUSTO ALVES,321932,11867,35.48,581,38519,35915,11353.11,
Loreto,2106102,lorentense,MARCOS FRANCO MARTINS BRINGEL,3596844,12098,3.17,582,27777,24266,9694.58,
Luís Domingues,2106201,luís-dominguense,GILBERTO BRAGA QUEIROZ,464060,6917,14.03,588,16774,15908,5471.49,
Magalhães de Almeida,2106300,magalhense,TADEU DE JESUS BATISTA DE SOUSA,433152,19620,40.60,567,43052.94888,40388.98998,5608.02,
Maracaçumé,2106326,maracaçumeense,FRANCISCO GONÇALVES DE SOUZA LIMA,635824,21201,30.44,582,43679,44003,7448.61,
Marajá do Sena,2106359,marajaense,LINDOMAR LIMA DE ARAUJO,1402593,7810,5.56,452,18995,17913,6601.95,
Maranhãozinho,2106375,maranhãozinense,JOSE AURICELIO DE MORAIS LEANDRO,760947,16013,14.46,550,35394,35572,5765.80,
Mata Roma,2106409,mata-romense,RAIMUNDO IVALDO DO NASCIMENTO SILVA,548414,16679,27.63,570,42633.08434,37789.30409,6868.65,
Matinha,2106508,matinhense,LINIELDA NUNES CUNHA,408727,23256,53.54,619,45301,43845,6071.98,
Matões,2106607,matoense,FERDINANDO ARAUJO COUTINHO,2107403,33615,15.69,550,65943,88794,5065.83,
Matões do Norte,2106631,norte-matõense,DOMINGOS COSTA CORREA,794651,16451,17.36,533,31928,28715,4803.74,
Milagres do Maranhão,2106672,milagrense,LEONARDO JOSE CALDAS LIMA,634734,8445,12.79,527,20043,19002,5417.22,
Mirador,2106706,miradoense,JOSÉ RON-NILDE PEREIRA DE SOUSA,8521081,21000,2.42,545,43116,43518,7246.48,
Miranda do Norte,2106755,mirandense-do-norte,CARLOS EDUARDO FONSECA BELFORT,341107,28001,71.61,610,87712.27108,84816.84645,16763.56,
Mirinzal,2106805,mirinzalense,JADILSON DOS SANTOS COELHO,687748,14913,20.67,622,31220,30158,5764.28,
Monção,2106904,monçonense,KLAUTENIS DELINE OLIVEIRA NUSSRALA,1239913,33201,24.38,546,55762,55076,5789.70,
Montes Altos,2107001,montesaltense,AJURICABA SOUSA DE ABREU,1488336,9209,6.32,575,21982,23881,6783.78,
Morros,2107100,morroense,SIDRACK SANTOS FEITOSA,1715171,19292,10.37,548,41100,43044,5811.70,
Nina Rodrigues,2107209,ninense,RAIMUNDO AGUIAR RODRIGUES NETO,572507,14264,21.77,585,29696,28136,4282.65,
Nova Colinas,2107258,nova-colinense,RENATO DE PAULA RIBEIRO,743087,5340,6.57,566,15891,14902,9016.88,
Nova Iorque,2107308,nova-iorquino,MAYRA RIBEIRO GUIMARAES,976872,4683,4.70,584,12967,12181,7119.49,
Nova Olinda do Maranhão,2107357,novaolindense,IRACY MENDONÇA WEBA,2452615,20774,7.80,581,42761,41719,6260.45,
Olho d'Água das Cunhãs,2107407,olho-daguense,RODRIGO ARAUJO DE OLIVEIRA,695333,19448,26.75,589,51214,48388,7532.27,
Olinda Nova do Maranhão,2107456,olindense,EDSON BARROS COSTA JÚNIOR,197636,14563,66.69,575,43182.70384,32849.6092,6258.81,
Paço do Lumiar,2107506,luminense,DOMINGOS FRANCISCO DUTRA FILHO,125259,120621,855.84,724,170450,187380,6672.00,
Palmeirândia,2107605,palmeirandense,JORGE LUIS SANTOS GARCIA,532163,19661,35.70,556,44111,41546,6299.68,
Paraibano,2107704,paraibanense,JOSE HELIO PEREIRA DE SOUSA,530517,21290,37.89,580,39247,29889,6441.33,
Parnarama,2107803,parnaramense,RAIMUNDO SILVA RODRIGUES DA SILVEIRA,3240492,34805,10.06,542,67980,73143,5543.79,
Passagem Franca,2107902,passagense,MARLON SABA DE TORRES,1358327,18898,12.93,532,41626,50357,6578.75,
Pastos Bons,2108009,pastos-bonense,IRIANE GONÇALO DE SOUSA GASPAR,1635321,19358,11.05,610,44317,43771,8239.29,
Paulino Neves,2108058,paulinoense,ROBERTO SILVA MAUES,979178,15901,14.83,561,43561,42031,6428.80,
Paulo Ramos,2108108,paulo-ramense,DEUSIMAR SERRA SILVA,1168609,21015,19.06,549,42337,41126,7303.11,
Pedreiras,2108207,pedreirense,ANTONIO FRANÇA DE SOUSA,261723,39267,136.77,682,87372,81134,12923.12,
Pedro do Rosário,2108256,pedro-rosariense,RAIMUNDO ANTONIO SILVA BORGES,1749885,24930,12.99,516,61532,51662,5628.47,
Penalva,2108306,penalvense,RONILDO CAMPOS SILVA,800308,38203,46.42,554,62897,54790,4530.24,
Peri Mirim,2108405,perimiriense,JOSE GERALDO AMORIM PEREIRA,398720,14291,34.06,599,25497,24520,5063.41,
Peritoró,2108454,peritoroense,JOZIAS LIMA OLIVEIRA,824725,23025,25.71,564,45967,50043,7528.58,
Pindaré-Mirim,2108504,pindareense,HENRIQUE CALDEIRA SALGADO,273526,32815,113.89,633,73632,72914,9764.54,
Pinheiro,2108603,pinheirense,JOAO LUCIANO SILVA SOARES,1512966,82990,51.67,637,167070,157461,9720.73,
Pio XII,2108702,piodocense,CARLOS ALBERTO GOMES BATALHA,545140,21594,40.39,541,50565,49981,7588.31,
Pirapemas,2108801,pirapemense,IOMAR SALVADOR MELO MARTINS,688761,18527,25.24,576,46707,47781,6044.85,
Poção de Pedras,2108900,poção-pedrense,AUGUSTO INACIO PINHEIRO JUNIOR,990415,18157,20.49,576,41383,40084,8037.47,
Porto Franco,2109007,porto-franquino,NELSON HORACIO MACEDO FONSECA,1417493,23675,15.19,684,74481,69846,21227.63,
Porto Rico do Maranhão,2109056,porto-riquense,TATYANA ANDREA MENDES SERENO,218831,5995,27.56,615,15808,15602,6509.98,
Presidente Dutra,2109106,presidutrense,JURAN CARVALHO DE SOUZA,771574,47567,57.97,653,80985,74317,11040.59,
Presidente Juscelino,2109205,juscelinense,JOSE MAGNO DOS SANTOS TEIXEIRA,354696,12629,32.54,563,31708.57623,28873.86514,7331.10,
Presidente Médici,2109239,medicense,ILVANE FREIRE PINHO,437687,6959,14.56,591,16713,16669,6862.56,
Presidente Sarney,2109270,sarneyense,VALERIA MOREIRA CASTRO,724154,18764,23.70,557,45566.05848,37803.80399,7665.58,
Presidente Vargas,2109304,presvarguense,JOSÉ HERIALDO PELUCIO JUNIOR,459380,11124,23.33,587,29682,26548,5073.60,
Primeira Cruz,2109403,primeira-cruzense,GEORGE LUIZ SANTOS,1367676,15197,10.20,512,33873,30759,5000.68,
Raposa,2109452,raposense,THALYTA MEDEIROS DE OLIVEIRA,66400,30337,397.21,626,48064,44036,6943.26,
Riachão,2109502,riachãoense,JOAB DA SILVA SANTOS,6373030,20243,3.17,576,49047,44890,10912.06,
Ribamar Fiquene,2109551,fiquenense,EDILOMAR NERY DE MIRANDA,733830,7755,9.75,615,19236,17427,9349.92,
Rosário,2109601,rosariense,IRLAHI LINHARES MORAES,685036,42482,57.77,632,79281,78715,7288.68,
Sambaíba,2109700,sambaibense,RAIMUNDO SANTANA DE CARVALHO FILHO,2478702,5663,2.21,565,21232,17121,15894.49,
Santa Filomena do Maranhão,2109759,santa-filomenense,IDAN TORRES CHAVES,623214,7719,11.72,525,16908,16520,5336.35,
Santa Helena,2109809,santa-helenense,ZEZILDO ALMEIDA JUNIOR,2194857,41770,16.94,571,79525,79419,6283.71,
Santa Inês,2109908,santa-inesense,MARIA VIANEY PINHEIRO BRINGEL,786689,88590,202.76,674,152237,132176,14690.96,
Santa Luzia,2110005,santa-luziense,FRANCILENE PAIXAO DE QUEIROZ,4837038,72440,13.55,550,134723,129271,7851.23,
Santa Luzia do Paruá,2110039,santa-luziense-do-paruá,JOSE PLACIDO SOUZA DE HOLANDA,1010483,25134,25.24,599,46383,45364,8919.39,
Santa Quitéria do Maranhão,2110104,quiteriense,NORBERTO MOREIRA ROCHA,1434898,25519,15.22,555,56604,59190,6714.31,
Santa Rita,2110203,santa-ritense,HILTON GONÇALO DE SOUSA,706380,37404,45.82,609,65051,58274,7324.76,
Santana do Maranhão,2110237,santanense,FRANCISCO PEREIRA TAVARES,932022,13223,12.51,510,22609,17979,4586.67,
Santo Amaro do Maranhão,2110278,santamarense,LUZIANE LOPES RODRIGUES LISBOA,1601180,15654,8.63,518,37828,35138,4884.17,
Santo Antônio dos Lopes,2110302,santo-antoense,EMANUEL LIMA DE OLIVEIRA,770923,14534,18.52,566,108937,89043,89606.91,
São Benedito do Rio Preto,2110401,são-beneditense,JOSE MAURICIO CARNEIRO FERNANDES,931485,18608,19.11,541,45094,42106,5684.05,
São Bento,2110500,são-bentuense,LUIS GONZAGA BARROS,468893,44811,88.74,602,72448,62910,9578.17,
São Bernardo,2110609,bernardense,JOAO IGOR VIEIRA CARVALHO,1006920,28343,26.29,572,49531,52041,9426.72,
São Domingos do Azeitão,2110658,são-dominguense,NICODEMOS FERREIRA GUIMARÃES,960932,7363,7.27,590,21743,18085,15214.32,
São Domingos do Maranhão,2110708,são-dominguense,JOSÉ MENDES FERREIRA,1151978,34368,29.17,582,63102,62502,7698.45,
São Félix de Balsas,2110807,são-felense,MARCIO DIAS PONTES,2032364,4609,2.31,557,14438,12824,8638.71,
São Francisco do Brejão,2110856,brejãoense,ADÃO  DE SOUSA CARNEIRO,745606,11652,13.76,584,22794,27292,8228.56,
São Francisco do Maranhão,2110906,são-franciscano,ADELBARTO RODRIGUES SANTOS,2280205,12201,5.17,528,23041,21951,5135.37,
São João Batista,2111003,juanino ou joanino,JOÃO CANDIDO DOMINICI,690683,20629,28.84,598,41763,39359,5782.96,
São João do Carú,2111029,caruense,FRANCISCO VIEIRA ALVES,908077,15828,19.99,509,32200,33272,5779.54,
